,,,,DS1,,,DS2,,,DS3,,,DS4,,
D.50.12.033f,,Each,,320,5,1,7240,5,1,6920,5,1,,,
D.50.12.033g,,Each,,480,5,1,12320,5,1,,,,,,
D.50.12.033h,,Each,,11840,5,1,,,,,,,,,
D.50.12.033i,,Each,,480,5,1,12320,5,1,11840,5,1,,,
D.50.12.033j,,Each,,480,5,1,21040,5,1,,,,,,
D.50.12.033k,,Each,,20560,5,1,,,,,,,,,
D.50.12.033l,,Each,,480,5,1,21040,5,1,20560,5,1,,,
D.50.92.011a,Battery Rack,Each,,4800,5,1,300,5,1,5100,5,1,1260,5,1
D.50.92.013a,,Each,,400,5,1,6460,5,1,,,,,,
D.50.92.013b,,Each,,4800,5,1,300,5,1,5100,5,1,1260,5,1
D.50.92.013c,,Each,,400,5,1,6460,5,1,4800,5,1,5100,5,1
D.50.92.021a,Battery Charger,Each,,320,5,1,4860,5,1,,,,,,
D.50.92.023a,,Each,,140,5,1,2570,5,1,,,,,,
D.50.92.023b,,Each,,320,5,1,4860,5,1,,,,,,
D.50.92.023c,,Each,,280,5,1,5140,5,1,4860,5,1,4860,5,1
D.50.92.031a,Diesel Generator,Each,,40,5,1,1250,5,1,200,5,1,200,5,1
D.50.92.031b,,Each,,80,5,1,2500,5,1,320,5,1,320,5,1
D.50.92.031c,,Each,,180,5,1,4000,5,1,480,5,1,480,5,1
D.50.92.031d,,Each,,600,5,1,4000,5,1,480,5,1,480,5,1
D.50.92.032a,,Each,,400,5,1,40880,5,1,,,,,,
D.50.92.032b,,Each,,40,5,1,1250,5,1,200,5,1,200,5,1
D.50.92.032c,,Each,,400,5,1,40880,5,1,80,5,1,1000,5,1
D.50.92.032d,,Each,,300,5,1,102250,5,1,,,,,,
D.50.92.032e,,Each,,80,5,1,2500,5,1,320,5,1,320,5,1
D.50.92.032f,,Each,,600,5,1,81800,5,1,160,5,1,2000,5,1
D.50.92.032g,,Each,,440,5,1,191200,5,1,,,,,,
D.50.92.032h,,Each,,180,5,1,4000,5,1,480,5,1,480,5,1
D.50.92.032i,,Each,,880,5,1,152960,5,1,360,5,1,3200,5,1
D.50.92.032j,,Each,,480,5,1,285450,5,1,,,,,,
D.50.92.032k,,Each,,600,5,1,4000,5,1,480,5,1,480,5,1
D.50.92.032l,,Each,,960,5,1,228360,5,1,600,5,1,4000,5,1
D.50.92.033a,,Each,,400,5,1,40880,5,1,,,,,,
D.50.92.033b,,Each,,80,5,1,1000,5,1,200,5,1,200,5,1
D.50.92.033c,,Each,,400,5,1,20440,5,1,40,5,1,500,5,1
D.50.92.033d,,Each,,600,5,1,81800,5,1,,,,,,
D.50.92.033e,,Each,,200,5,1,2500,5,1,320,5,1,320,5,1
D.50.92.033f,,Each,,300,5,1,40900,5,1,80,5,1,1000,5,1
D.50.92.033g,,Each,,880,5,1,152960,5,1,,,,,,
D.50.92.033h,,Each,,450,5,1,4000,5,1,480,5,1,480,5,1
D.50.92.033i,,Each,,440,5,1,76480,5,1,180,5,1,1600,5,1
D.50.92.033j,,Each,,960,5,1,228360,5,1,,,,,,
D.50.92.033k,,Each,,600,5,1,2000,5,1,240,5,1,240,5,1
D.50.92.033l,,Each,,960,5,1,228360,5,1,600,5,1,4000,5,1
F.10.12.001,Storage Racks,LF50,,4340,260,26,26110,260,26,,,,,,
